Timestamp,Username,Total score,What is your gender?,Were you born in the U.S?,What is your marital status?,Do you have children?,"If yes, how many children do you have?",How old are you?,What is your country of origin?,What is your educational level?,What is your English skill proficiency?,When did you arrive in Syracuse?,What is your profession?,"After arriving in Syracuse, how long does it take to find a job? ",What is the frequency of your income payment?,How much do you earn as income?,"Approximately what percentage of your income is spent locally (housing, groceries, transportation, services in Syracuse)?",Do you currently volunteer in any community service activities?,"If yes, please specify:"
2026/03/26 7:01:27 PM GMT+0000,,0.00 / 0,Female,No,Single,No,,25-34,Nigeria,Graduate degree,Advanced,Three years,Employee in the private sector,Less than 3 months,Weekly,$3000 or more,26 - 50%,Yes,100 Black Men Inc
2026/03/21 7:38:22 PM GMT+0000,,0.00 / 0,Male,No,Married,Yes,5 or plus,50 +,Burundi ,High School,Basic,17 years,Employee in the private sector,Six months,Weekly,$500 to $1000,25% or less,No,
2026/03/10 2:32:02 PM GMT+0000,,0.00 / 0,Male,No,Married,Yes,1 to 2,35-49,Afghanistan ,Bachelor’s,Advanced,Four years,Employee in the private sector,Less than 3 months,Weekly,Weekly $500 to $1000,76 - 100%,No,"I would love to. However, with family of 4, wife does not speak English - life is so busy and full of challenges, and opportunities. "
2026/03/04 10:11:59 PM GMT+0000,,0.00 / 0,Male,,Married,Yes,5 or plus,50 +,Somalia,Graduate degree,Advanced,2004,Employee in the public sector,Less than 3 months,Monthly,$3000 or more,76 - 100%,Yes,Somali- Bantu Refugees Community Association 
2026/03/21 7:36:21 PM GMT+0000,,0.00 / 0,Female,No,Married,Yes,3 to 5,25-34,Burundi,High School,Basic,Four years,Employee in the private sector,Two years,Weekly,$500 to $1000,26 - 50%,No,
2026/03/11 12:14:44 AM GMT+0000,,0.00 / 0,Male,No,Married,No,,25-34,Somalia,High School,Advanced,Two years,Employee in the private sector,Less than 3 months,Weekly,$500 to $1000,76 - 100%,Yes,Masjid Bilal
2026/03/21 7:15:57 PM GMT+0000,,0.00 / 0,Male,No,Married,Yes,3 to 5,25-34,Tanzania,Graduate degree,Advanced,18,Employee in the private sector,I was 12 years old when I arrived,Weekly,$1000 to $2000,26 - 50%,No,
2026/03/09 10:31:37 PM GMT+0000,,0.00 / 0,Female,No,Single,No,0,18-24,Cuba,High School,Advanced,12 years ,Employee in the public sector,"I moved when I was 8, I grew up here. I started working at 17.",Weekly,$100 to $500,51 - 75%,No,
2026/04/01 3:05:20 PM GMT+0000,,0.00 / 0,Male,No,Married,Yes,1 to 2,35-49,"Korea, Republic of",Graduate degree,Intermediate,Three years,Employee in the private sector,I arrived in Syrcuse after finding job.,Monthly,$3000 or more,76 - 100%,No,
2026/03/06 7:30:38 PM GMT+0000,,0.00 / 0,Female,,Single,No,No children,25-34,Indonesia,Graduate degree,Advanced,Less than one year,Employee in the private sector,Six months,Weekly,$100 to $500,51 - 75%,No,
